,Country Name,Country Code,Year,Birth Rate,Population_male,Population_female,Population_total,Median_age,Human Development Index,PM2.5_pollution,Urban population rate,Female_employment_rate,GDP per Capita,female_population_rate_15to44,Continent Name
0,Afghanistan,AFG,2000,49.664,9815442,9727541,19542982,14.1,0.335,51.55453373,22.078,13.644,181.0,39.48584231102188,Asia
1,Angola,AGO,2000,47.647,8054751,8339311,16394062,15.6,0.375,28.13389466,50.087,73.05,556.884243549684,41.62055224822812,Africa
2,Albania,ALB,2000,17.076,1531486,1557540,3089027,26.3,0.677,24.30286936,41.741,40.674,1126.68334010717,46.09761479005925,Europe
3,United Arab Emirates,ARE,2000,16.66,2237588,1037745,3275333,26.1,0.796,43.64834394,80.236,32.672,31855.5006047175,58.07594443917132,Asia
4,Argentina,ARG,2000,19.366,18280746,18790028,37070774,26.8,0.779,14.16360006,89.142,42.177,7666.51783423783,42.71120032391651,South America
5,Armenia,ARM,2000,12.51,1496293,1672231,3168523,28.7,0.662,31.07417312,64.666,48.0,603.298025247115,46.7211766795377,Asia
6,Australia,AUS,2000,13.0,9443035,9585767,19028802,34.4,0.896,7.356627454,84.235,51.194,21870.4159669594,43.69586486111561,Oceania
7,Austria,AUT,2000,9.8,3874820,4136746,8011566,37.1,0.871,17.30168358,60.213,47.117,24625.6007227434,41.86232224901438,Europe
8,Azerbaijan,AZE,2000,14.5,3868986,4179613,8048600,24.5,0.622,24.5397947,51.386,62.973,655.097249579917,50.74026898459814,Asia
9,Burundi,BDI,2000,42.473,3105481,3202178,6307659,14.7,0.297,36.18281228,8.246,81.952,138.004617225366,40.39945624509319,Africa
10,Belgium,BEL,2000,11.4,5012963,5238286,10251250,37.9,0.887,17.64764194,97.129,40.029,23098.8865077401,40.3125161761926,Europe
11,Benin,BEN,2000,41.672,3468525,3529498,6998023,16.2,0.416,47.6135595,38.333,63.144,502.997981069672,41.69755868964932,Africa
